from,to,length,width,height,weight,post,rate
H4R1J7,H2X1Z8,5.0,5.0,5.0,2.0,Regular,13.11
H4R1J7,H2X1Z8,5.0,5.0,5.0,2.0,Xpresspost,16.37
H4R1J7,H2X1Z8,5.0,5.0,5.0,2.0,Priority,25.84
H4R1J7,H2X1Z8,5.0,5.0,5.0,5.0,Regular,15.88
H4R1J7,H2X1Z8,5.0,5.0,5.0,5.0,Xpresspost,19.71
H4R1J7,H2X1Z8,5.0,5.0,5.0,5.0,Priority,29.82
H4R1J7,H2X1Z8,5.0,5.0,5.0,10.0,Regular,20.66
H4R1J7,H2X1Z8,5.0,5.0,5.0,10.0,Xpresspost,24.68
H4R1J7,H2X1Z8,5.0,5.0,5.0,10.0,Priority,36.10
H4R1J7,H2X1Z8,10.0,10.0,10.0,2.0,Regular,13.11
H4R1J7,H2X1Z8,10.0,10.0,10.0,2.0,Xpresspost,16.37
H4R1J7,H2X1Z8,10.0,10.0,10.0,2.0,Priority,25.84
H4R1J7,H2X1Z8,10.5,10.5,10.5,2.0,Regular,13.11
H4R1J7,H2X1Z8,10.5,10.5,10.5,2.0,Xpresspost,16.37
H4R1J7,H2X1Z8,10.5,10.5,10.5,2.0,Priority,25.84
H4R1J7,H2X1Z8,5.0,5.0,5.0,2.5,Regular,13.40
H4R1J7,H2X1Z8,5.0,5.0,5.0,2.5,Xpresspost,16.98
H4R1J7,H2X1Z8,5.0,5.0,5.0,2.5,Priority,26.58
K2G0V4,H2X2B2,5.0,3.0,1.0,7.0,Regular,19.29
K2G0V4,H2X2B2,5.0,3.0,1.0,7.0,Xpresspost,22.38
K2G0V4,H2X2B2,5.0,3.0,1.0,7.0,Priority,36.78
H2W1W9,H2X2B2,3.0,2.0,1.0,4.0,Regular,14.89
H2W1W9,H2X2B2,3.0,2.0,1.0,4.0,Xpresspost,18.61
H2W1W9,H2X2B2,3.0,2.0,1.0,4.0,Priority,28.52
H2W1W9,K2G0V4,6.0,5.0,4.0,7.0,Regular,19.25
H2W1W9,K2G0V4,6.0,5.0,4.0,7.0,Xpresspost,24.08
H2W1W9,K2G0V4,6.0,5.0,4.0,7.0,Priority,39.58
K2G0M7,K2G0V4,9.0,8.0,7.0,6.0,Regular,17.66
K2G0M7,K2G0V4,9.0,8.0,7.0,6.0,Xpresspost,22.32
K2G0M7,K2G0V4,9.0,8.0,7.0,6.0,Priority,34.57